,Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts
0,0,0,0,0,0,0.0,530,19,0,0,0.0,0.0,2019-08-17T14:00:00Z,0,16,0,0,0,0,2,0,1840,2,1,0.0,0,1228,1527,299,45,False,0,,,,,
1,1,0,0,0,0,0.0,530,24,0,0,0.0,0.0,2019-08-24T16:30:00Z,0,1,0,0,0,0,3,0,1252,1,3,0.0,0,-822,132,954,45,True,0,,,,,
2,2,0,0,0,0,0.0,530,32,0,0,0.0,0.0,2019-08-31T16:30:00Z,0,5,0,0,0,0,4,0,1325,3,0,0.0,0,-250,80,330,45,False,0,,,,,
3,3,0,0,0,0,0.0,530,44,0,0,0.0,0.0,2019-09-14T11:30:00Z,0,13,0,0,0,0,5,0,1500,1,3,0.0,0,-129,99,228,45,True,0,,,,,
4,4,0,0,0,0,0.0,530,53,0,0,0.0,0.0,2019-09-22T15:30:00Z,0,6,0,0,0,0,6,0,1543,2,1,0.0,0,-85,39,124,45,False,0,,,,,
5,5,0,0,0,0,0.0,530,68,0,0,0.0,0.0,2019-09-28T11:30:00Z,0,15,0,0,0,0,7,0,1597,1,0,0.0,0,-85,49,134,44,False,0,,,,,
6,6,0,0,0,0,0.0,530,74,0,0,0.0,0.0,2019-10-05T14:00:00Z,0,9,0,0,0,0,8,0,1615,1,2,0.0,0,-69,34,103,44,True,0,,,,,
7,7,0,0,0,0,0.0,530,87,0,0,0.0,0.0,2019-10-20T15:30:00Z,0,12,0,0,0,0,9,0,1654,1,1,0.0,0,-45,49,94,44,False,0,,,,,
8,8,0,0,0,0,0.0,530,94,0,0,0.0,0.0,2019-10-27T16:30:00Z,0,17,0,0,0,0,10,0,1661,1,2,0.0,0,-35,14,49,44,True,0,,,,,
9,9,0,0,0,0,0.0,530,102,0,0,0.0,0.0,2019-11-02T15:00:00Z,0,2,0,0,0,0,11,0,1681,2,1,0.0,0,-37,20,57,44,False,0,,,,,
10,10,0,0,0,0,0.0,530,114,0,0,0.0,0.0,2019-11-10T16:30:00Z,0,11,0,0,0,0,12,0,1700,1,3,0.0,0,-31,30,61,43,True,0,,,,,
11,11,0,0,0,0,0.0,530,125,0,0,0.0,0.0,2019-11-23T15:00:00Z,0,7,0,0,0,0,13,0,1702,2,1,0.0,0,-39,26,65,43,False,0,,,,,
12,12,0,0,0,0,0.0,530,134,0,0,0.0,0.0,2019-11-30T15:00:00Z,0,4,0,0,0,0,14,0,1718,1,2,0.0,0,-25,10,35,43,True,0,,,,,
