,Unnamed: 0.1,Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts
0,0,0,0,0,0,0,0.0,561,13,0,0,0.0,0.0,2021-08-21T14:00:00Z,0,3,0,0,0,0,2,0,0,0.0,0.0,0.0,0,0,0,0,40,True,0,,,,,
1,1,1,0,0,0,0,0.0,561,28,0,0,0.0,0.0,2021-08-28T14:00:00Z,0,19,0,0,0,0,3,0,4204,2.0,2.0,0.0,0,2367,2742,375,40,False,0,,,,,
2,2,2,0,0,0,0,0.0,561,34,0,0,0.0,0.0,2021-09-11T11:30:00Z,0,17,0,0,0,0,4,0,14991,0.0,3.0,0.0,0,8136,10445,2309,40,True,0,,,,,
3,3,3,0,0,0,0,0.0,561,44,0,0,0.0,0.0,2021-09-18T14:00:00Z,0,11,0,0,0,0,5,0,18457,0.0,3.0,0.0,0,2788,3999,1211,40,False,0,,,,,
4,4,4,0,0,0,0,0.0,561,54,0,0,0.0,0.0,2021-09-27T19:00:00Z,0,4,0,0,0,0,6,0,17910,1.0,1.0,0.0,0,-776,990,1766,40,True,0,,,,,
5,5,5,0,0,0,0,0.0,561,64,0,0,0.0,0.0,2021-10-03T13:00:00Z,0,9,0,0,0,0,7,0,17918,2.0,2.0,0.0,0,-224,494,718,40,True,0,,,,,
6,6,6,0,0,0,0,0.0,561,71,0,0,0.0,0.0,2021-10-18T19:00:00Z,0,1,0,0,0,0,8,0,17838,2.0,2.0,0.0,0,-313,402,715,40,False,0,,,,,
7,7,7,0,0,0,0,0.0,561,85,0,0,0.0,0.0,2021-10-23T14:00:00Z,0,14,0,0,0,0,9,0,17913,1.0,1.0,0.0,0,-90,381,471,40,True,0,,,,,
8,8,8,0,0,0,0,0.0,561,95,0,0,0.0,0.0,2021-10-30T14:00:00Z,0,12,0,0,0,0,10,0,20135,2.0,0.0,0.0,0,1910,2597,687,40,False,0,,,,,
9,9,9,0,0,0,0,0.0,561,105,0,0,0.0,0.0,2021-11-06T15:00:00Z,0,20,0,0,0,0,11,0,18077,0.0,2.0,0.0,0,-2135,200,2335,40,True,0,,,,,
10,10,10,0,0,0,0,0.0,561,112,0,0,0.0,0.0,2021-11-20T15:00:00Z,0,5,0,0,0,0,12,0,17756,3.0,3.0,0.0,0,-499,338,837,40,False,0,,,,,
11,11,11,0,0,0,0,0.0,561,126,0,0,0.0,0.0,2021-11-27T15:00:00Z,0,2,0,0,0,0,13,0,18013,2.0,1.0,0.0,0,177,698,521,40,True,0,,,,,
